Club,Goal_Difference,Points,Position,Season
Southampton,-17,44,15,99/00
Derby,-13,38,16,99/00
Bradford,-30,36,17,99/00
Wimbledon FC,-28,33,18,99/00
Sheff Wed,-32,31,19,99/00
Watford,-42,24,20,99/00
Man Utd,43,79,1,98/99
Arsenal,42,78,2,98/99
Chelsea,27,75,3,98/99
Leeds,28,67,4,98/99
West Ham,-7,57,5,98/99
Aston Villa,5,55,6,98/99
Liverpool,19,54,7,98/99
Derby,-5,52,8,98/99
Middlesbrough,-6,51,9,98/99
Leicester,-6,49,10,98/99
Spurs,-3,47,11,98/99
Sheff Wed,-1,46,12,98/99
Newcastle,-6,46,13,98/99
Everton,-5,43,14,98/99
Coventry,-12,42,15,98/99
Wimbledon FC,-23,42,16,98/99
Southampton,-27,41,17,98/99
Charlton,-15,36,18,98/99
Blackburn,-14,35,19,98/99
Nottm Forest,-34,30,20,98/99
Arsenal,35,78,1,97/98
Man Utd,47,77,2,97/98
Liverpool,26,65,3,97/98
Chelsea,28,63,4,97/98
Leeds,11,59,5,97/98
Blackburn,5,58,6,97/98
Aston Villa,1,57,7,97/98
West Ham,-1,56,8,97/98
Derby,3,55,9,97/98
Leicester,10,53,10,97/98
Coventry,2,52,11,97/98
Southampton,-5,48,12,97/98
Newcastle,-9,44,13,97/98
Spurs,-12,44,14,97/98
Sheff Wed,-15,44,15,97/98
Everton,-15,40,16,97/98
Bolton,-20,40,17,97/98
Barnsley FC,-45,35,18,97/98
Crystal Palace,-34,33,19,97/98
Wimbledon FC,-7,21,20,97/98
